class,f1_smote_pixel
2101 Paddy,0.6125496317914956
2204 Cassava,0.5165197193780812
2205 Pineapple,0.5862379770591795
2302 Rubber,0.5793775282754066
2303 OilPalm,0.6929827942896059
2403 Durian,0.48402131884209426
2404 Rambutan,0.3537792803670611
2405 Coconut,0.3955701394585726
2407 Mango,0.41807788877610985
2413 Longan,0.3724654966774578
2416 Jackfruit,0.3426950354609929
2419 Mangosteen,0.37689061992859463
2420 Langsat,0.3267070008643042
4201 Reservoir,0.7733494212133781
9999 OTHER,0.435197024293851
